lote;status;avista;area;tabela_preco;id_tabela
A  01;Disponivel;165000.00;340;A  01;93
A  02;Disponivel;165000.00;250;A  02;20
A  03;Disponivel;165000.00;250;A  03;21
A  04;Disponivel;165000.00;250;A  04;22
A  05;Disponivel;165000.00;565.65;A  05;117
A  06;Disponivel;165000.00;333.7;A  06;103
A  07;Disponivel;165000.00;250;T6;6
A  08;Disponivel;165000.00;350.3;A  08;100
A  09;Disponivel;165000.00;332.06;A  09;94
A  10;Disponivel;165000.00;313.83;A  10;91
A  11;Disponivel;165000.00;295.59;A  11;82
A  12;Disponivel;165000.00;277.35;A  12;68
A  13;Disponivel;165000.00;259.12;A  13;48
A  14;Disponivel;165000.00;250;T4;4
A  15;Disponivel;165000.00;250;T4;4
A  16;Disponivel;165000.00;250;T4;4
A  17;Disponivel;165000.00;250;T4;4
A  18;Disponivel;165000.00;382.1;A  18;111
A  19;Disponivel;165000.00;512.17;A  19;119
A  20;Disponivel;165000.00;400.31;A  20;118
A  21;Disponivel;165000.00;540.68;A  21;120
A  22;Disponivel;165000.00;790.6;A  22;122
B  01;Disponivel;165000.00;408.95;B  01;114
B  02;Disponivel;165000.00;250;T6;6
B  03;Disponivel;165000.00;250;T6;6
B  04;Disponivel;165000.00;250;T6;6
B  05;Disponivel;165000.00;250;T6;6
B  06;Disponivel;165000.00;250;T6;6
B  07;Disponivel;165000.00;250;T6;6
B  08;Disponivel;165000.00;250;T6;6
B  09;Disponivel;165000.00;250;T6;6
B  10;Disponivel;165000.00;250;T6;6
B  11;Disponivel;165000.00;250;T6;6
B  12;Disponivel;165000.00;250;T6;6
B  13;Disponivel;165000.00;250;T6;6
B  14;Disponivel;165000.00;250;T6;6
B  15;Disponivel;165000.00;397.41;B  15;113
B  16;Disponivel;165000.00;354.34;B  16;109
B  17;Disponivel;165000.00;250;T4;4
B  18;Disponivel;165000.00;250;T4;4
B  19;Disponivel;165000.00;250;T4;4
B  20;Disponivel;165000.00;250;T4;4
B  21;Disponivel;165000.00;250;T4;4
B  22;Disponivel;165000.00;250;T4;4
B  23;Disponivel;165000.00;250;T4;4
B  24;Disponivel;165000.00;250;T4;4
B  25;Disponivel;165000.00;250;T4;4
B  26;Disponivel;165000.00;250;T4;4
B  27;Disponivel;165000.00;250;T4;4
B  28;Disponivel;165000.00;250;T4;4
B  29;Disponivel;165000.00;250;T4;4
B  30;Disponivel;165000.00;457;B  30;115
C  01;Disponivel;165000.00;508.6;C  01;97
C  02;Disponivel;165000.00;282.24;C  02;19
C  03;Disponivel;165000.00;250;T2;2
C  04;Disponivel;165000.00;250;T2;2
C  05;Disponivel;165000.00;250;T2;2
C  06;Disponivel;165000.00;250;T2;2
C  07;Disponivel;165000.00;250;T2;2
C  08;Disponivel;165000.00;321.73;C  08;47
C  09;Disponivel;165000.00;306.25;C  09;33
C  10;Disponivel;165000.00;250;T1;1
C  11;Disponivel;165000.00;250;T1;1
C  12;Disponivel;165000.00;250;T1;1
C  13;Disponivel;165000.00;250;T1;1
C  14;Disponivel;165000.00;250;T1;1
C  15;Disponivel;165000.00;250;T1;1
C  16;Disponivel;165000.00;543.87;C  16;105
D  01;Disponivel;165000.00;306.97;D  01;35
D  02;Disponivel;165000.00;250;T2;2
D  03;Disponivel;165000.00;250;T2;2
D  04;Disponivel;165000.00;250;T2;2
D  05;Disponivel;165000.00;250;T2;2
D  06;Disponivel;165000.00;250;T2;2
D  07;Disponivel;165000.00;250;T2;2
D  08;Disponivel;165000.00;250;T2;2
D  09;Disponivel;165000.00;250;T2;2
D  10;Disponivel;165000.00;250;T2;2
D  11;Disponivel;165000.00;250;T2;2
D  12;Disponivel;165000.00;250;T2;2
D  13;Disponivel;165000.00;250;T2;2
