nome;avista;entrada;em_12_pr;em_24_pr;em_36_pr;em_48_pr;em_60_pr;em_100_pr;em_120_pr
T1; 165000.00; 165000.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00
T2; 165000.00; 165000.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00
T3; 165000.00; 165000.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00
T4; 161556.75; 46875.00; 9556.81; 5002.19; 3465.84; 2697.67; 2236.77; 1483.59; 0.00
T5; 162735.03; 40000.00; 10227.92; 5353.45; 3709.22; 2887.10; 2393.84; 1587.78; 0.00
T6; 172327.25; 50000.00; 10193.94; 5335.66; 3696.90; 2877.51; 2385.88; 1582.50; 0.00
I  22; 132870.22; 40000.00; 7739.18; 4050.81; 2806.66; 2184.59; 1811.35; 1201.42; 0.00
O  05; 132870.22; 40000.00; 7739.18; 4050.81; 2806.66; 2184.59; 1811.35; 1201.42; 0.00
H  14; 133557.27; 40000.00; 7796.44; 4080.77; 2827.43; 2200.75; 1824.75; 1210.32; 0.00
O  04; 135528.31; 40000.00; 7960.69; 4166.74; 2887.00; 2247.12; 1863.19; 1235.82; 0.00
W  01; 138196.53; 40000.00; 8183.04; 4283.13; 2967.63; 2309.88; 1915.24; 1270.33; 0.00
I  27; 139900.57; 40000.00; 8325.05; 4357.46; 3019.14; 2349.97; 1948.47; 1292.38; 0.00
V  02; 140031.09; 40000.00; 8335.92; 4363.15; 3023.07; 2353.04; 1951.01; 1294.06; 0.00
L  02; 142968.59; 40000.00; 8580.72; 4491.28; 3111.85; 2422.13; 2008.31; 1332.06; 0.00
O  03; 143798.71; 40000.00; 8649.89; 4527.49; 3136.94; 2441.66; 2024.50; 1342.80; 0.00
H  13; 143954.17; 40000.00; 8662.85; 4534.27; 3141.64; 2445.32; 2027.53; 1344.82; 0.00
I  29; 144879.49; 40000.00; 8739.96; 4574.63; 3169.60; 2467.09; 2045.58; 1356.78; 0.00
W  02; 144922.16; 40000.00; 8743.51; 4576.50; 3170.89; 2468.09; 2046.42; 1357.34; 0.00
C  02; 148934.49; 40000.00; 9077.87; 4751.50; 3292.15; 2562.48; 2124.66; 1409.25; 0.00
A  02; 150786.38; 43750.00; 8919.70; 4668.70; 3234.79; 2517.82; 2087.64; 1384.69; 0.00
A  03; 150786.38; 43750.00; 8919.70; 4668.70; 3234.79; 2517.82; 2087.64; 1384.69; 0.00
A  04; 150786.38; 43750.00; 8919.70; 4668.70; 3234.79; 2517.82; 2087.64; 1384.69; 0.00
L  03; 150135.67; 40000.00; 9177.97; 4803.89; 3328.45; 2590.73; 2148.10; 1424.78; 0.00
V  03; 151593.47; 40000.00; 9299.46; 4867.47; 3372.51; 2625.02; 2176.53; 1443.64; 0.00
O  02; 152068.09; 40000.00; 9339.01; 4888.17; 3386.85; 2636.18; 2185.79; 1449.78; 0.00
V  10; 152523.09; 40000.00; 9376.92; 4908.03; 3400.60; 2646.89; 2194.66; 1455.67; 0.00
V  09; 154181.93; 40000.00; 9515.16; 4980.38; 3450.74; 2685.90; 2227.01; 1477.13; 0.00
